filename, description (singular), description (plural)
B337.png, a wolf rampant, wolves rampant
B339.png, a wolf courant, wolves courant
B340.png, a wolf passant, wolves passant
B346.png, a bear rampant, bears rampant 
B350.png, a bear's head couped, bears' heads couped
B360.png, a horse rampant, horses rampant
B364.png, a sea horse, sea horses
B377.png, a bull's head cabossed, bulls' heads cabossed
B380.png, a stag trippant, stags trippant
B382.png, a stag springing, stags springing
B383.png, a stag at gaze, stags at gaze
B387.png, a buck's head couped, bucks' heads couped
B393.png, a heraldic antelope passant, heraldic antelopes passant
B400.png, a ram's head cabossed, rams' heads cabossed
E445.png, an eagle's head erased, eagles' heads erased
E446.png, an eagle close, eagles close
E447.png, an eagle rising wings elevated and addorsed, eagles rising wings elevated and addorsed
E448.png, an eagle rising wings addorsed and elevated, eagles rising wings addorsed and elevated
E449.png, an eagle rising wings displayed and inverted, eagles rising wings displayed and inverted
E450.png, an eagle rising wings elevated and displayed, eagles rising wings elevated and displayed
E451.png, an eagle displayed, eagles displayed
E452.png, an eagle displayed with wings inverted, eagles displayed with wings inverted
E453.png, an eagle erect, eagles erect
E455.png, a doubled-headed eagle displayed, doubled-headed eagles displayed
E456.png, a Napoleonic eagle, Napoleonic eagles
E457.png, an eagle's head couped, eagles' heads couped
E461.png, a falcon, falcons
E462.png, a pelican in her piety, pelicans in their piety
E463.png, an ostrich, ostriches
E465.png, a martlet, martlets
E466.png, a martlet volant, martlets volant
E467.png, a swan, swans
E468.png, a cock, cocks
E472.png, a heron, herons
E473.png, a raven, ravens
E475.png, an owl, owls
E476.png, a popinjay, popinjays
E477.png, a moorcock, moorcocks
L282.png, a lion rampant, lions rampant
L283.png, a lion rampant, lions rampant
L286.png, a lion rampant regardant, lions rampant regardant
L287.png, a lion rampant double queued, lions rampant double queued
L289.png, a lion rampant tail nowed, lions rampant tails nowed
L292.png, a lion rampant regardant tail nowed, lions rampant regardant tails nowed 
L295.png, two lions rampant combatant, pairs of lions rampant combatant
L296.png, a lion passant, lions passant
L300.png, a lion statant, lions statant
L303.png, a lion salient, lions salient
L304.png, a lion sejant, lions sejant
L306.png, a lion sejant regardant, lions sejant regardant
L307.png, a lion sejant erect, lions sejant erect
L309.png, a lion sejant regardant erect, lions sejant regardant erect 
L311.png, a lion couchant, lions couchant
L312.png, a lion dormant, lions dormant
L314.png, a sea lion, sea lions
L319.png, a lion's head erased, lions' heads erased
L320.png, a lion's head couped, lions' heads couped
M415.png, a unicorn passant, unicorns passant
M416.png, a unicorn statant, unicorns statant
M417.png, a unicorn rampant, unicorns rampant
M418.png, a griffin segreant, griffins segreant
M419.png, a griffin passant, griffins passant
M420.png, a griffin statant, griffins statant
