filename, description (singular), description (plural)
A546.png, a mullet, mullets
A549.png, a mullet of 8 points, mullets of 8 points
A550.png, a sun in splendour, suns in splendour
A553.png, an escallop, escallops
C160.png, a cross raguly, crosses raguly
C166.png, a cross botony, crosses botony
C167.png, a cross flory, crosses flory
C169.png, a cross moline, crosses moline
C170.png, a cross potent, crosses potent
C172.png, a cross patonce, crosses patonce
C173.png, a cross crosslet, crosses crosslet
C175.png, a cross patee quadrate, crosses patee quadrate
C177.png, a cross tau, crosses tau
C178.png, a Maltese cross, Maltese crosses
C180.png, a cross crosslet fitchee, crosses crosslet fitchee
F487.png, a trefoil, trefoils
F488.png, a quatrefoil, quatrefoils
F489.png, a cinquefoil, cinquefoils
F491.png, a rose, roses
F492.png, a rose slipped and leaved, roses slipped and leaved
F493.png, a thistle, thistles
F494.png, a fleur-de-lis, fleur-de-lis
F496.png, an acorn slipped and leaved, acorns slipped and leaved
F497.png, a garb, garbs
H252.png, an arm embowed and vested holding a sword, arms embowed and vested holding swords
H257.png, a dexter hand, dexter hands
H258.png, a sinister hand, sinister hands
H259.png, a hand in benediction, hands in benediction
H260.png, a cubic arm, cubic arms
H261.png, an arm couped at the elbow, arms couped at the elbow
H262.png, an arm embowed, arms embowed
H263.png, an arm embowed to the dexter, arms embowed to the dexter
H264.png, an arm embowed fessways, arms embowed fessways 
H266.png, two arms counter embowed, two arms counter embowed
H268.png, a cubic arm habited, cubic arms habited
H269.png, an arm embowed in armour, arms embowed in armour
H270.png, an arm embowed and vested holding a sword, arms embowed and vested holding swords
T656.png, a ducal coronet, ducal coronets
T657.png, a mural coronet, mural coronets
X486.png, an oak tree eradicated, oak trees eradicated
anchor.png, an anchor, anchors
apple2.png, an apple, apples
bezant.png, a bezant, bezants
billet.png, a billet, billets
book.png, a book, books
BowensKnot.png, a bowen's knot, bowen's knots
bugle-horn stringed.png, a bugle horn stringed, bugle horns stringed
bugle_horn.png, a bugle horn, bugle horns
caltrap.png, a caltrap, caltraps
cartwheel.png, a cartwheel, cartwheels
castle_2.png, a castle, castles
CatherineWheel.png, a Catherine wheel, Catherine wheels
celt008.png, a harp, harps
chalice.png, a chalice, chalices
churchbell.png, a church bell, church bells
cinqefoil2.png, a cinqefoil, cinqefoils
clarion.png, a clarion, clarions
cornucopia.png, a cornucopia, cornucopias
crescent.png, a crescent, crescents
crescent2.png, a crescent, crescents
crescent_plain.png, a crescent, crescents
CroccPatonceVoided.png, a cross patonce voided, crosses patonce voided
CrossBotony.png, a cross botony, crosses botony
CrossCouped.png, a cross couped, crosses couped
CrossFleuretty.png, a cross fleuretty, crosses fleuretty
CrossFlory.png, a cross flory, crosses flory
CrossFourche.png, a cross fourche, crosses fourche
CrossPatonce.png, a cross patonce, crosses patonce
CrossPointed.png, a cross pointed, crosses pointed
CrossRaguly.png, a cross raguly, crosses raguly
CrossRecercely.png, a cross recercely, crosses recercely
cross_barby.png, a cross barby, crosses barby
cross_crosslet.png, a cross crosslet, crosses crosslet
